Source: USDA Branded Food Products Database Release September 2016 Software v.3.5.3 2016-10-05,,,
Report Run at: October 09, 2016 17:46 EDT,,
"Nutrient data for: 45050786, GRACE HARBOR FARMS, FRESH GOAT MILK, UPC: 835481002102",,,
Nutrient,Unit,8.0 oz = 244.0g,1Value per 100 g
Proximates,,,
Energy,kcal,168,69
Protein,g,8,3.28
Total lipid (fat),g,10,4.1
"Carbohydrate, by difference",g,11,4.51
"Fiber, total dietary",g,0,0
"Sugars, total",g,11,4.51
Minerals,,,
"Calcium, Ca",mg,329,135
"Iron, Fe",mg,0.17,0.07
"Sodium, Na",mg,122,50
Vitamins,,,
"Vitamin C, total ascorbic acid",mg,2.9,1.2
"Vitamin A, IU",IU,500,205
Lipids,,,
"Fatty acids, total saturated",g,7,2.87
"Fatty acids, total trans",g,0,0
Cholesterol,mg,27,11
Amino Acids,,,
Other,,,
Ingredients,,,
GOAT MILK Date last updated by company: 06/28/2014,,,
